"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
".@SamanthaJPower is a Pulitzer winner, an incredible writer, and a great friend. Her memoir, The Education of an Id… https://t.co/rsVrBUOSIJ",FALSE,61068,NA,2019-10-18 14:53:14,TRUE,NA,"1185207212085567488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",6297,FALSE,FALSE,NA,NA
"Michelle and I are heartbroken over the passing of our friend, Elijah Cummings. May his example inspire more Americ… https://t.co/Km5EWFuGaw",FALSE,46335,NA,2019-10-17 15:23:42,TRUE,NA,"1184852494922453001",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",11461,FALSE,FALSE,NA,NA
"I was proud to work with Justin Trudeau as President. He's a hard-working, effective leader who takes on big issues… https://t.co/nZdSmWcpgP",FALSE,322649,NA,2019-10-16 17:58:15,TRUE,NA,"1184528998669389824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",44679,FALSE,FALSE,NA,NA
"In December, Michelle and I will head to Malaysia for the first @ObamaFoundation Leaders: Asia-Pacific gathering. T… https://t.co/sDWtdRPHCQ",FALSE,61379,NA,2019-10-15 14:17:23,TRUE,NA,"1184111029787222021",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",6177,FALSE,FALSE,NA,NA
"Yesterday, marathoner Eliud Kipchoge became the first ever to break two hours. Today in Chicago, Brigid Kosgei set… https://t.co/xbTHZbEo1K",FALSE,301662,NA,2019-10-13 21:20:26,TRUE,NA,"1183492717017554944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",30760,FALSE,FALSE,NA,NA
"RT @MichelleObama: Happy #DayoftheGirl! I’m excited to share that in December, I’ll be visiting Vietnam to meet some of the inspiring girls…",FALSE,0,NA,2019-10-11 16:05:38,FALSE,NA,"1182688720484478977",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",3570,TRUE,FALSE,NA,NA
"Congrats to the @WashMystics on a gutsy, first-ever championship! A great team performance when it counted. If folk… https://t.co/6M93KCXeVW",FALSE,59055,NA,2019-10-11 13:52:07,TRUE,NA,"1182655118057103360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",5867,FALSE,FALSE,NA,NA
"Here’s an interesting read—a reminder that behind every opinion lies a human being with real experiences and a stor… https://t.co/r7MX8F6tsX",FALSE,61453,NA,2019-10-09 19:41:11,TRUE,NA,"1182018186146979840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",11017,FALSE,FALSE,NA,NA
"As President, I leaned on @AmbassadorRice’s experience, expertise, and willingness to tell me what I needed to hear… https://t.co/oWx2obfDF5",FALSE,93683,NA,2019-10-08 13:54:05,TRUE,NA,"1181568448004050951",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",8968,FALSE,FALSE,NA,NA
"Like the Beatles said: It’s getting better all the time. Thanks, babe, for 27 amazing years! https://t.co/mImRqIYn1R",FALSE,1913310,NA,2019-10-03 14:10:50,FALSE,NA,"1179760725973184513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",214102,FALSE,FALSE,NA,NA
